level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	1	1	9	0	136	763	110	26	-1	
5	1	1	1	9	1	136	763	110	26	96.161713	ITEMS
4	1	1	1	10	0	162	845	1337	30	-1	
5	1	1	1	10	1	162	845	38	28	96.602913	No.
5	1	1	1	10	2	242	845	140	30	95.535934	Description
5	1	1	1	10	3	681	845	43	30	96.742195	Qty
5	1	1	1	10	4	781	850	36	16	94.311081	UM
5	1	1	1	10	5	903	850	42	16	96.251480	Net
5	1	1	1	10	6	955	849	60	22	96.053345	price
5	1	1	1	10	7	1062	850	41	16	95.871117	Net
5	1	1	1	10	8	1113	849	70	17	95.871117	worth
5	1	1	1	10	9	1231	850	49	16	90.683113	VAT
5	1	1	1	10	10	1290	849	39	20	90.683113	[%]
5	1	1	1	10	11	1430	849	69	17	96.730438	Gross
4	1	1	1	11	0	1428	876	70	17	-1	
5	1	1	1	11	1	1428	876	70	17	96.509148	worth
4	1	1	1	12	0	169	932	1330	28	-1	
5	1	1	1	12	1	169	932	20	28	53.355106	tks
5	1	1	1	12	2	242	936	119	17	95.440369	Handmade
5	1	1	1	12	3	369	936	58	17	96.218025	Thick
5	1	1	1	12	4	437	936	61	17	96.747116	round
5	1	1	1	12	5	508	940	60	13	96.506180	warm
5	1	1	1	12	6	676	936	47	20	96.859924	4,00
5	1	1	1	12	7	773	936	51	17	96.460052	each
5	1	1	1	12	8	953	936	61	20	96.315804	44,99
5	1	1	1	12	9	1110	936	74	20	96.036545	179,96
5	1	1	1	12	10	1284	936	46	18	94.838074	10%
5	1	1	1	12	11	1424	936	75	20	94.919746	197,96
4	1	1	1	13	0	241	963	319	22	-1	
5	1	1	1	13	1	241	963	82	17	96.431046	crochet
5	1	1	1	13	2	333	964	40	21	96.813820	Rug
5	1	1	1	13	3	383	963	73	22	96.710213	Carpet
5	1	1	1	13	4	465	964	39	16	95.489685	Mat
5	1	1	1	13	5	513	963	47	17	95.489685	97%
4	1	1	1	14	0	241	991	292	22	-1	
5	1	1	1	14	1	241	991	70	22	96.700676	acrylic
5	1	1	1	14	2	321	991	33	17	96.652939	3%
5	1	1	1	14	3	364	995	32	13	95.946419	me
5	1	1	1	14	4	407	991	53	17	96.038658	Floor
5	1	1	1	14	5	469	992	64	16	96.327538	Decor
4	1	1	1	15	0	172	1050	1326	22	-1	
5	1	1	1	15	1	172	1050	17	17	96.422691	2.
5	1	1	1	15	2	242	1051	40	21	96.507347	Rug
5	1	1	1	15	3	292	1050	62	17	96.205383	White
5	1	1	1	15	4	365	1051	103	16	96.205383	Moroccan
5	1	1	1	15	5	479	1050	45	17	96.668770	Beni
5	1	1	1	15	6	676	1050	47	20	96.285362	2,00
5	1	1	1	15	7	773	1050	51	17	96.694237	each
5	1	1	1	15	8	939	1050	75	20	96.468887	245,00
5	1	1	1	15	9	1108	1050	75	20	96.739029	490,00
5	1	1	1	15	10	1284	1050	45	17	95.594780	10%
5	1	1	1	15	11	1424	1050	74	20	96.860390	539,00
4	1	1	1	16	0	241	1078	318	22	-1	
5	1	1	1	16	1	241	1078	72	17	93.042763	Ourain
5	1	1	1	16	2	322	1078	65	17	95.943886	Trellis
5	1	1	1	16	3	397	1078	52	22	95.857574	Shag
5	1	1	1	16	4	459	1079	49	16	96.429832	Area
5	1	1	1	16	5	519	1079	40	21	96.179604	Rug
4	1	1	1	17	0	240	1106	317	22	-1	
5	1	1	1	17	1	240	1106	106	17	95.563011	Authentic
5	1	1	1	17	2	356	1106	119	17	95.705124	Handmade
5	1	1	1	17	3	484	1107	73	21	95.705124	Carpet
4	1	1	1	18	0	172	1165	1326	22	-1	
5	1	1	1	18	1	172	1165	17	18	58.789810	Sh
5	1	1	1	18	2	240	1165	93	17	96.825302	Abstract
5	1	1	1	18	3	343	1165	61	22	96.829262	Living
5	1	1	1	18	4	416	1166	60	16	96.225548	Room
5	1	1	1	18	5	486	1165	73	22	96.566811	Carpet
5	1	1	1	18	6	677	1165	46	20	96.532890	1,00
5	1	1	1	18	7	773	1165	51	17	96.740341	each
5	1	1	1	18	8	953	1165	61	20	96.360176	24,01
5	1	1	1	18	9	1123	1165	60	19	96.851006	24,01
5	1	1	1	18	10	1284	1165	45	17	95.332756	10%
5	1	1	1	18	11	1438	1165	60	20	96.767319	26,41
4	1	1	1	19	0	242	1193	277	22	-1	
5	1	1	1	19	1	242	1194	63	16	96.558006	Home
5	1	1	1	19	2	315	1194	64	16	96.815079	Decor
5	1	1	1	19	3	388	1193	68	17	95.624985	Nordic
5	1	1	1	19	4	466	1193	53	22	96.722778	Style
4	1	1	1	20	0	242	1221	318	22	-1	
5	1	1	1	20	1	242	1221	86	17	96.739662	Bedside
5	1	1	1	20	2	336	1222	49	16	96.532387	Area
5	1	1	1	20	3	396	1222	40	21	96.196281	Rug
5	1	1	1	20	4	447	1221	53	17	95.971268	Floor
5	1	1	1	20	5	509	1222	51	16	96.435379	Mats
4	1	1	1	21	0	172	1280	1327	22	-1	
5	1	1	1	21	1	172	1281	17	16	88.468834	4.
5	1	1	1	21	2	242	1280	87	22	96.285019	Leopard
5	1	1	1	21	3	340	1280	75	17	96.693016	Printed
5	1	1	1	21	4	426	1281	40	21	96.761871	Rug
5	1	1	1	21	5	476	1280	44	17	96.732483	Skin
5	1	1	1	21	6	531	1281	39	16	96.726112	Mat
5	1	1	1	21	7	677	1280	46	20	96.720734	1,00
5	1	1	1	21	8	773	1280	51	17	96.305534	each
5	1	1	1	21	9	954	1280	60	20	95.231155	19,49
5	1	1	1	21	10	1124	1280	59	20	96.619041	19,49
5	1	1	1	21	11	1284	1280	45	17	95.740128	10%
5	1	1	1	21	12	1438	1280	61	19	96.513428	21,44
4	1	1	1	22	0	242	1308	339	17	-1	
5	1	1	1	22	1	242	1308	83	17	96.522148	Leather
5	1	1	1	22	2	334	1309	51	16	96.557335	Faux
5	1	1	1	22	3	395	1309	34	16	96.557335	Fur
5	1	1	1	22	4	437	1308	86	17	96.337830	Animals
5	1	1	1	22	5	532	1309	49	16	96.334831	Area
4	1	1	1	23	0	242	1336	218	22	-1	
5	1	1	1	23	1	242	1337	52	21	96.563385	Rugs
5	1	1	1	23	2	304	1337	63	16	96.043564	Home
5	1	1	1	23	3	376	1336	84	22	96.043564	Carpets
4	1	1	1	24	0	172	1391	1326	28	-1	
5	1	1	1	24	1	172	1396	17	16	48.321335	a
5	1	1	1	24	2	242	1396	37	21	91.020325	1pc
5	1	1	1	24	3	290	1395	98	22	96.362167	Exquisite
5	1	1	1	24	4	398	1395	85	17	96.558258	Durable
5	1	1	1	24	5	493	1396	47	16	96.978607	Foot
5	1	1	1	24	6	676	1395	47	20	96.313484	2,00
5	1	1	1	24	7	773	1395	51	17	96.742668	each
5	1	1	1	24	8	954	1391	60	28	0.000000	MSS7;
5	1	1	1	24	9	1123	1395	61	20	96.493568	31,14
5	1	1	1	24	10	1284	1395	45	17	95.409668	10%
5	1	1	1	24	11	1438	1395	60	20	96.697266	34,25
4	1	1	1	25	0	241	1423	326	22	-1	
5	1	1	1	25	1	241	1423	55	17	96.610275	Cloth
5	1	1	1	25	2	306	1423	110	17	96.561157	Christmas
5	1	1	1	25	3	425	1423	74	22	96.561157	Carpet
5	1	1	1	25	4	507	1424	60	16	96.829933	Xmas
4	1	1	1	26	0	241	1450	215	17	-1	
5	1	1	1	26	1	241	1450	86	17	96.883278	Cushion
5	1	1	1	26	2	337	1450	30	17	96.279739	for
5	1	1	1	26	3	376	1450	80	17	96.247887	Kitchen
4	1	1	1	27	0	135	1543	191	25	-1	
5	1	1	1	27	1	135	1543	191	25	96.635811	SUMMARY
4	1	1	1	28	0	643	1628	859	20	-1	
5	1	1	1	28	1	643	1629	49	16	92.357430	VAT
5	1	1	1	28	2	702	1628	39	20	92.357430	[%]
5	1	1	1	28	3	932	1629	42	16	95.746605	Net
5	1	1	1	28	4	983	1628	70	17	95.746605	worth
5	1	1	1	28	5	1191	1629	49	16	96.067444	VAT
5	1	1	1	28	6	1353	1628	69	17	96.715393	Gross
5	1	1	1	28	7	1432	1628	70	17	96.607651	worth
4	1	1	1	29	0	670	1687	833	20	-1	
5	1	1	1	29	1	670	1687	46	17	94.596306	10%
5	1	1	1	29	2	979	1687	75	20	95.967766	744,60
5	1	1	1	29	3	1178	1687	61	20	96.025871	74,46
5	1	1	1	29	4	1427	1687	76	20	96.372711	819,06
4	1	1	1	30	0	503	1742	1000	30	-1	
5	1	1	1	30	1	503	1742	62	30	95.506264	Total
5	1	1	1	30	2	948	1746	12	20	93.072998	$
5	1	1	1	30	3	971	1746	83	20	95.897079	744,60
5	1	1	1	30	4	1148	1746	12	20	92.714859	$
5	1	1	1	30	5	1171	1746	68	20	96.109673	74,46
5	1	1	1	30	6	1396	1746	13	20	92.783890	$
5	1	1	1	30	7	1419	1746	84	20	94.494629	819,06
