level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	18	11	1073	1165	26	17	96.126282	29
5	1	1	1	18	12	1109	1165	74	19	96.126282	540,00
5	1	1	1	18	13	1284	1165	45	17	95.332756	10%
5	1	1	1	18	14	1388	1165	25	17	95.258896	32
5	1	1	1	18	15	1423	1165	76	20	95.258896	494,00
4	1	1	1	19	0	240	1193	331	22	-1	
5	1	1	1	19	1	240	1194	40	21	96.915291	Top
5	1	1	1	19	2	290	1193	55	17	96.731850	Hand
5	1	1	1	19	3	356	1193	57	17	96.577133	Inlaid
5	1	1	1	19	4	423	1193	79	17	96.122635	Garden
5	1	1	1	19	5	510	1193	61	17	96.717262	Table
4	1	1	1	20	0	241	1221	178	17	-1	
5	1	1	1	20	1	241	1221	44	17	96.051987	with
5	1	1	1	20	2	295	1221	124	17	91.494179	Gemstones
4	1	1	1	21	0	135	1313	191	26	-1	
5	1	1	1	21	1	135	1313	191	26	96.619171	SUMMARY
4	1	1	1	22	0	643	1398	859	20	-1	
5	1	1	1	22	1	643	1399	49	16	92.373055	VAT
5	1	1	1	22	2	702	1398	39	20	92.373055	[%]
5	1	1	1	22	3	932	1399	42	16	95.441071	Net
5	1	1	1	22	4	983	1398	70	17	95.441071	worth
5	1	1	1	22	5	1191	1399	49	16	96.263626	VAT
5	1	1	1	22	6	1353	1398	69	17	96.714722	Gross
5	1	1	1	22	7	1432	1398	70	17	96.839516	worth
4	1	1	1	23	0	670	1457	832	20	-1	
5	1	1	1	23	1	670	1457	46	17	94.704102	10%
5	1	1	1	23	2	943	1457	26	17	94.905746	40
5	1	1	1	23	3	979	1457	74	20	96.221756	677,81
5	1	1	1	23	4	1142	1458	12	16	93.889648	4
5	1	1	1	23	5	1164	1457	75	20	93.889648	067,78
5	1	1	1	23	6	1392	1458	26	16	87.790291	44
5	1	1	1	23	7	1428	1457	74	20	87.790291	745,59
4	1	1	1	24	0	503	1513	999	30	-1	
5	1	1	1	24	1	503	1513	62	30	96.073189	Total
5	1	1	1	24	2	909	1517	12	20	92.985931	$
5	1	1	1	24	3	931	1517	29	17	96.596855	40
5	1	1	1	24	4	971	1517	83	20	96.164383	677,81
5	1	1	1	24	5	1110	1517	12	20	93.132622	$
5	1	1	1	24	6	1132	1518	14	16	93.872208	4
5	1	1	1	24	7	1155	1517	84	20	93.872208	067,78
5	1	1	1	24	8	1358	1517	12	20	92.682724	$
5	1	1	1	24	9	1380	1518	29	16	93.358864	44
5	1	1	1	24	10	1419	1517	83	20	93.358864	745,59
